"Id","MSSubClass","MSZoning","LotFrontage","LotArea","LotShape","LandContour","LotConfig","LandSlope","Neighborhood","Condition1","BldgType","HouseStyle","OverallQual","OverallCond","YearRemodAdd","RoofStyle","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinType2","BsmtUnfSF","TotalBsmtSF","HeatingQC","X2ndFlrSF","LowQualFinSF","GrLivArea","BedroomAbvGr","KitchenAbvGr","Functional","GarageFinish","GarageArea","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleCondition","SalePrice","have_Garage","Fireplaces_present","pool_present","FullBath_total","HalfBath_total"
1,60,"RL",65,8450,4,TRUE,"Inside",TRUE,"CollgCr","Norm","1Fam","2Story",7,5,2003,FALSE,"VinylSd","VinylSd","BrkFace",196,3,"PConc",3,2,1,6,1,150,856,5,854,0,1710,3,1,7,2,548,"Y",0,61,0,FALSE,"None",0,2,2008,TRUE,208500,TRUE,FALSE,FALSE,3,1
2,20,"RL",80,9600,4,TRUE,"Other",TRUE,"Veenker","Feedr","1Fam","1Story",6,8,1976,FALSE,"MetalSd","MetalSd","None",0,3,"CBlock",3,2,4,5,1,284,1262,5,0,0,1262,3,1,7,2,460,"Y",298,0,0,FALSE,"None",0,5,2007,TRUE,181500,TRUE,TRUE,FALSE,2,1
3,60,"RL",68,11250,3,TRUE,"Inside",TRUE,"CollgCr","Norm","1Fam","2Story",7,5,2002,FALSE,"VinylSd","VinylSd","BrkFace",162,3,"PConc",3,2,2,6,1,434,920,5,866,0,1786,3,1,7,2,608,"Y",0,42,0,FALSE,"None",0,9,2008,TRUE,223500,TRUE,TRUE,FALSE,3,1
4,70,"RL",60,9550,3,TRUE,"Corner",TRUE,"Crawfor","Norm","1Fam","2Story",7,5,1970,FALSE,"Wd Sdng","Wd Shng","None",0,3,"Other",2,3,1,5,1,540,756,4,756,0,1717,3,1,7,1,642,"Y",0,35,272,FALSE,"None",0,2,2006,FALSE,140000,TRUE,TRUE,FALSE,2,0
5,60,"RL",84,14260,3,TRUE,"Other",TRUE,"NoRidge","Norm","1Fam","2Story",8,5,2000,FALSE,"VinylSd","VinylSd","BrkFace",350,3,"PConc",3,2,3,6,1,490,1145,5,1053,0,2198,4,1,7,2,836,"Y",192,84,0,FALSE,"None",0,12,2008,TRUE,250000,TRUE,TRUE,FALSE,3,1
6,50,"RL",85,14115,3,TRUE,"Inside",TRUE,"Mitchel","Norm","1Fam","1.5Fin",5,5,1995,FALSE,"VinylSd","VinylSd","None",0,3,"Other",3,2,1,6,1,64,796,5,566,0,1362,1,1,7,1,480,"Y",40,30,0,TRUE,"Shed",700,10,2009,TRUE,143000,TRUE,FALSE,FALSE,2,1
7,20,"RL",75,10084,4,TRUE,"Inside",TRUE,"Somerst","Norm","1Fam","1Story",8,5,2005,FALSE,"VinylSd","VinylSd","Stone",186,3,"PConc",4,2,3,6,1,317,1686,5,0,0,1694,3,1,7,2,636,"Y",255,57,0,FALSE,"None",0,8,2007,TRUE,307000,TRUE,TRUE,FALSE,3,0
8,60,"RL",75.1360875879535,10382,3,TRUE,"Corner",TRUE,"NWAmes","PosN","1Fam","2Story",7,6,1973,FALSE,"HdBoard","HdBoard","Stone",240,3,"CBlock",3,2,2,5,4,216,1107,5,983,0,2090,3,1,7,2,484,"Y",235,204,228,FALSE,"Shed",350,11,2009,TRUE,200000,TRUE,TRUE,FALSE,3,1
9,50,"RM",51,6120,4,TRUE,"Inside",TRUE,"OldTown","Artery","1Fam","1.5Fin",7,5,1950,FALSE,"BrkFace","Wd Shng","None",0,3,"Other",2,2,1,1,1,952,952,4,752,0,1774,2,2,6,1,468,"Y",90,0,205,FALSE,"None",0,4,2008,FALSE,129900,TRUE,TRUE,FALSE,2,0
10,190,"RL",50,7420,4,TRUE,"Corner",TRUE,"BrkSide","Artery","2fmCon","1.5Unf",5,6,1950,FALSE,"MetalSd","MetalSd","None",0,3,"Other",2,2,1,6,1,140,991,5,0,0,1077,2,2,7,2,205,"Y",0,4,0,FALSE,"None",0,1,2008,TRUE,118000,TRUE,TRUE,FALSE,2,0
